AADAT	ERCC5
AAK1	ABL1
AAK1	ABL2
AAK1	AKT1
AAK1	AKT2
AAK1	ALK
AAK1	ARHGEF12
AAK1	ATM
AAK1	BCL3
AAK1	BCL6
AAK1	BCR
AAK1	BMPR1A
AAK1	BRAF
AAK1	BRCA1
AAK1	BRD3
AAK1	BUB1B
AAK1	CCND1
AAK1	CCND2
AAK1	CCNE1
AAK1	CDK4
AAK1	CDK6
AAK1	CDKN2C
AAK1	CHEK2
AAK1	CHN1
AAK1	CNOT3
AAK1	CREBBP
AAK1	DNM2
AAK1	EGFR
AAK1	ERBB2
AAK1	ERCC2
AAK1	FBXO11
AAK1	FBXW7
AAK1	FGFR1
AAK1	FGFR3
AAK1	FNBP1
AAK1	HIP1
AAK1	HRAS
AAK1	IKZF1
AAK1	ITK
AAK1	JAK1
AAK1	JAK2
AAK1	JAK3
AAK1	KDM5A
AAK1	KIT
AAK1	KLF4
AAK1	KRAS
AAK1	LCK
AAK1	MAP2K1
AAK1	MAP2K2
AAK1	MAP2K4
AAK1	MET
AAK1	MYH9
AAK1	NF1
AAK1	NOTCH1
AAK1	NRAS
AAK1	NSD1
AAK1	NTRK1
AAK1	PDGFRB
AAK1	PIM1
AAK1	PRDM1
AAK1	PRDM16
AAK1	PTEN
AAK1	RAF1
AAK1	RALGDS
AAK1	RET
AAK1	ROS1
AAK1	SEPT6
AAK1	SH3GL1
AAK1	SMARCA4
AAK1	SRGAP3
AAK1	STK11
AAK1	SYK
AAK1	TCEA1
AAK1	USP6
AAK1	WHSC1L1
AAK1	WT1
ABL1	ACVR1
ABL1	ACVR1B
ABL1	ACVR1C
ABL1	ACVR2B
ABL1	ACVRL1
ABL1	ADRBK1
ABL1	ADRBK2
ABL1	AHI1
ABL1	AKT3
ABL1	AMHR2
ABL1	AMPH
ABL1	ANLN
ABL1	APEX1
ABL1	ARAF
ABL1	ARFRP1
ABL1	ARHGAP26
ABL1	ARHGEF5
ABL1	ARL1
ABL1	ATP10A
ABL1	ATP10B
ABL1	ATP10D
ABL1	ATP11A
ABL1	ATP11B
ABL1	ATP11C
ABL1	ATP2A2
ABL1	ATP2C1
ABL1	ATP8A1
ABL1	ATP8B1
ABL1	ATP8B3
ABL1	ATP9A
ABL1	ATP9B
ABL1	AURKA
ABL1	AURKB
ABL1	AURKC
