1700006A11RIK	BMPR1B
1810055G02RIK	MPRIP
1810055G02RIK	RAI14
1810055G02RIK	TPM1
2410129H14RIK	C13ORF37
2410129H14RIK	FAM128A
2410129H14RIK	LGALS3BP
2410129H14RIK	NEDD1
2410129H14RIK	TUBG1
2410129H14RIK	TUBGCP2
2410129H14RIK	TUBGCP3
2410129H14RIK	TUBGCP4
2410129H14RIK	TUBGCP5
2410129H14RIK	TUBGCP6
2810046L04RIK	ARF1
2810046L04RIK	ARF3
4922501C03RIK	CPNE4
4930572J05RIK	C8ORF55
4930572J05RIK	PRKDC
4930572J05RIK	SPRR2B
4930572J05RIK	SPRR2D
4930572J05RIK	SPRR2E
4930572J05RIK	SPRR2G
9130404D08RIK	C19ORF21
9130404D08RIK	CHCHD3
9130404D08RIK	CYTSB
9130404D08RIK	GNAI3
9130404D08RIK	GNB1
9130404D08RIK	GNB2
9130404D08RIK	GNB4
9130404D08RIK	GNG12
9130404D08RIK	NIPBL
9130404D08RIK	RPA2
9830001H06RIK	C1QBP
9830001H06RIK	C20ORF117
9830001H06RIK	DYNLL1
9830001H06RIK	KIAA0802
9830001H06RIK	PPP2CA
9830001H06RIK	PPP2R1A
9830001H06RIK	PPP2R5A
9830001H06RIK	PPP2R5E
9830001H06RIK	RNF41
A1BG	ANXA7
A1BG	CDKN1A
A1BG	CRISP3
A1BG	GRB7
A1BG	SMN1
A1BG	SNCA
A1BG	TK1
A1CF	APOBEC1
A1CF	CELF2
A1CF	KHSRP
A1CF	SYNCRIP
A1CF	TNPO2
A2M	ADAMTS1
A2M	AMBP
A2M	ANXA7
A2M	APOE
A2M	B2M
A2M	C11ORF58
A2M	CDC42
A2M	CDK2AP2
A2M	CDKN1A
A2M	CPB2
A2M	GEM
A2M	GRB2
A2M	H2AFX
A2M	HMOX2
A2M	HSPA5
A2M	IL10
A2M	IL4
A2M	KLK13
A2M	KLK3
A2M	LCAT
A2M	LEP
A2M	LRP1
A2M	MMP2
A2M	NGF
A2M	NUDT21
A2M	PAEP
A2M	RAP1B
A2M	RPP14
A2M	SEPT8
A2M	SMN1
A2M	TGIF1
A2M	TK1
A2M	TNFRSF14
A2M	TSC22D1
A2M	TTR
A2M	UFD1L
AAAS	UBC
AAGAB	EIF3C
AAMP	C8ORF33
AAMP	GABARAPL2
AAMP	MAP1LC3B
AAMP	TK1
AANAT	YWHAZ
AARS2	YWHAQ
AASDHPPT	C19ORF62
AASDHPPT	MDFI
AASDHPPT	TRAF2
AASDHPPT	UBC
AASDHPPT	USP22
AASS	ICT1
AASS	MYC
AASS	TERF2
AATF	CHEK2
AATF	DAZAP2
AATF	LDOC1
AATF	LZTR1
AATF	MAGED1
AATF	MAPT
AATF	MPP6
AATF	PAWR
AATF	PCBD2
AATF	POLR2J
AATF	RB1
AATF	RBL1
AATF	RBL2
AATF	RELA
AATF	SP1
AATF	SS18L1
AATF	TAT
AATF	TSG101
AATF	UBC
AATK	STK39
ABAT	ALDH5A1
ABC1	CABC1
ABCA1	AOX1
ABCA1	APOA1
ABCA1	COPS2
ABCA1	COPS5
ABCA1	CREBBP
ABCA1	CSNK2A2
ABCA1	FADD
ABCA1	HGS
ABCA1	PRPF8
