Q0045	MT-CO1
Q0085	MT-ATP6
Q0105	MT-CYB
Q0130	ATP5G1
Q0130	ATP5G3
Q0250	MT-CO2
Q0275	MT-CO3
YAL001C	GTF3C1
YAL003W	EEF1B2
YAL005C	HSPA9
YAL013W	SUDS3
YAL014C	BET1L
YAL014C	STX16
YAL014C	STX16-NPEPL1
YAL014C	STX17
YAL014C	STX19
YAL014C	STX1B
YAL014C	STX8
YAL014C	TSNARE1
YAL015C	EEPD1
YAL015C	MBD4
YAL015C	MUTYH
YAL015C	NTHL1
YAL015C	POLL
YAL017W	CDK17
YAL017W	CLK3
YAL017W	DYRK4
YAL017W	MAP3K12
YAL017W	PHKG1
YAL017W	PHKG2
YAL017W	PSKH1
YAL017W	SIK3
YAL017W	STK10
YAL017W	TNNI3K
YAL017W	TP53RK
YAL021C	APEX1
YAL021C	CCRN4L
YAL021C	CNOT6
YAL021C	CNOT6L
YAL022C	SLC29A3
YAL022C	SLC29A4
YAL023C	POMT2
YAL023C	SDF2
YAL030W	STXBP6
YAL030W	VAMP3
YAL030W	VAMP4
YAL030W	VAMP7
YAL030W	VAMP8
YAL033W	POP5
YAL033W	RPP14
YAL035W	EEF2
YAL035W	EIF2S3
YAL035W	EIF5B
YAL035W	GUF1
YAL035W	MTIF2
YAL035W	TUFM
YAL036C	GNL3L
YAL036C	GTPBP10
YAL036C	MTG1
YAL040C	CCNA1
YAL040C	CCNE2
YAL042W	ERGIC1
YAL044C	FAM206A
YAL044C	GCSH
YAL044W-A	BOLA3
YAL046C	BOLA3
YAL048C	RAB2B
YAL049C	LYPLAL1
YAL061W	ZADH2
YAL062W	GLUD1
YAL062W	GLUD2
YAL067C	FLVCR2
YAL067C	HIAT1
YAL067C	HIATL1
YAL067C	HIATL2
YAL067C	MFSD1
YAL067C	MFSD10
YAL067C	MFSD12
YAL067C	MFSD2A
YAL067C	MFSD3
YAL067C	MFSD4
YAL067C	MFSD5
YAL067C	MFSD6
YAL067C	MFSD7
YAL067C	MFSD8
YAL067C	MFSD9
YAL067C	SLC15A3
YAL067C	SLC15A4
YAL067C	SLC16A10
YAL067C	SLC16A11
YAL067C	SLC16A12
YAL067C	SLC16A14
YAL067C	SLC16A2
YAL067C	SLC16A4
YAL067C	SLC16A5
YAL067C	SLC16A6
YAL067C	SLC16A7
YAL067C	SLC17A1
YAL067C	SLC17A3
YAL067C	SLC17A5
YAL067C	SLC17A6
YAL067C	SLC17A8
YAL067C	SLC17A9
YAL067C	SLC18A1
YAL067C	SLC18B1
