Q0045	MT-CO1
Q0085	MT-ATP6
Q0105	MT-CYB
Q0130	ATP5G1
Q0130	ATP5G2
Q0130	ATP5G3
Q0250	MT-CO2
Q0275	MT-CO3
YAL003W	EEF1B2
YAL003W	EEF1D
YAL005C	HSPA14
YAL005C	HSPA1A
YAL005C	HSPA1L
YAL005C	HSPA4L
YAL005C	HSPA8
YAL005C	HSPA9
YAL005C	HSPH1
YAL005C	HYOU1
YAL007C	TMED10
YAL007C	TMED2
YAL012W	CTH
YAL013W	SUDS3
YAL014C	STX1B
YAL014C	STX8
YAL015C	EEPD1
YAL015C	ERCC1
YAL015C	MBD4
YAL015C	MUTYH
YAL015C	NTHL1
YAL015C	OGG1
YAL015C	POLL
YAL016W	GCN1L1
YAL016W	PPP2R1A
YAL017W	AAK1
YAL017W	ACVR1
YAL017W	ACVR1B
YAL017W	ACVR1C
YAL017W	ACVRL1
YAL017W	AKT1
YAL017W	AKT3
YAL017W	ARAF
YAL017W	AURKA
YAL017W	AURKC
YAL017W	BMPR1A
YAL017W	BMPR1B
YAL017W	BMX
YAL017W	BRAF
YAL017W	BRSK1
YAL017W	BRSK2
YAL017W	BTK
YAL017W	CAMK1
YAL017W	CAMK2A
YAL017W	CAMK2B
YAL017W	CAMK2D
YAL017W	CAMK2G
YAL017W	CAMK4
YAL017W	CAMKK2
YAL017W	CDC42BPA
YAL017W	CDC42BPB
YAL017W	CDC42BPG
YAL017W	CDK11A
YAL017W	CDK11B
YAL017W	CDK16
YAL017W	CDK17
YAL017W	CDK18
YAL017W	CDK4
YAL017W	CDK6
YAL017W	CDK9
YAL017W	CDKL1
YAL017W	CDKL5
YAL017W	CHUK
YAL017W	CLK2
YAL017W	CLK3
YAL017W	CSK
YAL017W	CSNK1A1
YAL017W	CSNK1D
YAL017W	CSNK1E
YAL017W	CSNK1G2
YAL017W	CSNK2A1
YAL017W	DAPK1
YAL017W	DAPK2
YAL017W	DAPK3
YAL017W	DCLK1
YAL017W	DMPK
YAL017W	DYRK1A
YAL017W	DYRK1B
YAL017W	DYRK2
YAL017W	DYRK3
YAL017W	DYRK4
YAL017W	EIF2AK2
YAL017W	EIF2AK3
YAL017W	EIF2AK4
YAL017W	EPHB2
YAL017W	ERBB2
YAL017W	ERN1
YAL017W	ERN2
YAL017W	FER
YAL017W	FES
YAL017W	FGFR1
YAL017W	FGR
YAL017W	FRK
YAL017W	FYN
YAL017W	GSG2
YAL017W	GSK3A
YAL017W	GSK3B
YAL017W	HCK
YAL017W	HIPK3
