Q0045		MT-CO1
Q0085		MT-ATP6
Q0105		MT-CYB
Q0120		MT-CYB
Q0130		ATP5G1
Q0130		ATP5G2
Q0130		ATP5G3
Q0250		MT-CO2
Q0275		MT-CO3
YAL002W		VPS8
YAL003W		EEF1B2
YAL003W		EEF1D
YAL012W		CTH
YAL015C		NTHL1
YAL016W		PPP2R1A
YAL016W		PPP2R1B
YAL016W		PPP4R1
YAL016W		PPP4R1L
YAL017W		PASK
YAL017W		PIM1
YAL017W		PIM2
YAL017W		PIM3
YAL019W		SMARCAD1
YAL021C		ANGEL1
YAL021C		ANGEL2
YAL021C		CCRN4L
YAL021C		CNOT6
YAL021C		CNOT6L
YAL021C		PDE12
YAL022C		SLC29A1
YAL022C		SLC29A2
YAL022C		SLC29A3
YAL022C		SLC29A4
YAL023C		POMT2
YAL025C		MAK16
YAL026C		ATP8A1
YAL026C		ATP8A2
YAL026C		ATP8B3
YAL029C		MYO5A
YAL029C		MYO5B
YAL029C		MYO5C
YAL029C		MYO7A
YAL029C		MYO7B
YAL030W		RP11-599B13.6
YAL030W		VAMP1
YAL030W		VAMP2
YAL030W		VAMP3
YAL030W		VAMP4
YAL030W		VAMP5
YAL030W		VAMP8
YAL032C		SNW1
YAL035W		CYLC1
YAL035W		CYLC2
YAL035W		EIF5B
YAL036C		DRG1
YAL038W		PKLR
YAL038W		PKM
YAL039C		HCCS
YAL041W		ARHGEF6
YAL041W		ARHGEF7
YAL041W		TIAM1
YAL041W		TIAM2
YAL042W		ERGIC1
YAL042W		ERGIC2
YAL042W		ERGIC3
YAL044C		GCSH
YAL044W-A		BOLA1
YAL046C		BOLA3
YAL048C		RHOT1
YAL048C		RHOT2
YAL049C		CMBL
YAL054C		ACSS1
YAL054C		ACSS2
YAL054C		ACSS3
YAL058W		CALR
YAL058W		CALR3
YAL058W		CANX
YAL058W		CLGN
YAL062W		GLUD1
YAL062W		GLUD2
YAR002C-A		TMED4
YAR002C-A		TMED9
YAR003W		RBBP5
YAR007C		RPA1
YAR008W		TSEN34
YAR018C		NEK1
YAR018C		NEK11
YAR018C		NEK3
YAR018C		NEK5
YAR018C		NEK8
YAR019C		MAP3K1
YAR019C		MAP3K15
YAR019C		MAP3K5
YAR019C		MAP3K6
YAR019C		MAP3K8
YAR035W		CPT2
YAR042W		OSBP
YAR042W		OSBP2
YAR073W		GMPR
YAR073W		GMPR2
YAR073W		IMPDH1
YAR073W		IMPDH2
YBL002W		HIST1H2BB
YBL002W		HIST1H2BJ
