Chromosome	Start	End
chr1	1060608	1066403
chr1	2067708	2069681
chr1	2876525	2879739
chr1	2891713	2897093
chr1	2916670	2920431
chr1	3098715	3101762
chr1	3108517	3111669
chr1	3148697	3151345
chr1	3193103	3197747
chr1	3204534	3212193
chr1	3215346	3217151
chr1	3235556	3241294
chr1	3255539	3258661
chr1	3292971	3294422
chr1	3577321	3581961
chr1	3633537	3637459
chr1	3677933	3681681
chr1	3779151	3781096
chr1	3797995	3801828
chr1	3999592	4004250
chr1	4009071	4011639
chr1	4029733	4036195
chr1	4053435	4057402
chr1	4061608	4065348
chr1	4085582	4094701
chr1	4121747	4123486
chr1	4152206	4157198
chr1	4174989	4178303
chr1	4178303	4183258
chr1	4224558	4227213
chr1	4230542	4235683
chr1	4275442	4276903
chr1	4283000	4288803
chr1	4295001	4299532
chr1	4300806	4302161
chr1	4354462	4355593
chr1	4364226	4368942
chr1	4378211	4382714
chr1	4402519	4404194
chr1	4418319	4419905
chr1	4461254	4462386
chr1	4468712	4469868
chr1	4493215	4496329
chr1	4511421	4517334
chr1	4523410	4529103
chr1	4555701	4558013
chr1	4610733	4613511
chr1	4636767	4641799
chr1	4658538	4659671
chr1	4671411	4676846
chr1	4727530	4732132
chr1	4748305	4752794
chr1	4814751	4821297
chr1	4851989	4854325
chr1	4931354	4933525
chr1	4978096	4981574
chr1	4999852	5002626
chr1	5009593	5011402
chr1	5016055	5019553
chr1	5023430	5027479
chr1	5033661	5038051
chr1	5088617	5091631
chr1	5124859	5127543
chr1	5140292	5145395
chr1	5190166	5194204
chr1	5222269	5226752
chr1	5283602	5285266
chr1	5299181	5303446
chr1	5304873	5307519
chr1	5310292	5312308
chr1	5324231	5326050
chr1	5341784	5343556
chr1	5345535	5348459
chr1	5353894	5354979
chr1	5535472	5544823
chr1	5572304	5574895
chr1	5624840	5625929
chr1	5629328	5634721
chr1	5637582	5639454
chr1	5659908	5664972
chr1	5676334	5680808
chr1	5688758	5689921
chr1	5717581	5722017
chr1	5800904	5805819
chr1	5809179	5815248
chr1	5874733	5880466
chr1	5905792	5908733
chr1	5912321	5915662
chr1	6139744	6143746
chr1	6825429	6826571
chr1	7011805	7016109
chr1	7079949	7081233
chr1	7127425	7129216
chr1	7167031	7170719
chr1	7177813	7180424
chr1	7245434	7248214
chr1	7314194	7317356
chr1	7322160	7326201
